Tube Coefficients,Value,a1,a2
"C_x1,0",0.5,0.5,0.5
"C_x1,1",0.004224941724941679,0.0,0.0
"C_x1,2",-0.06385975135975065,0.0,0.0
"C_x1,3",0.2185314685314661,0.0,0.0
"C_x1,4",-0.02428127428127393,0.0,0.0
"C_x2,0",0.5,,
"C_x2,1",0.0021052607226596833,,
"C_x2,2",-0.03181025817205565,,
"C_x2,3",0.10873324611539022,,
"C_x2,4",-0.011567366608020274,,
Tube Coefficients,Value,a1,a2
"C_x1,0",-186.3679461981358,0.5,0.5
"C_x1,1",90.85465862022401,0.0,0.0
"C_x1,2",-14.812553203072989,0.0,0.0
"C_x1,3",1.0244106680819893,0.0,0.0
"C_x1,4",-0.025324174523631247,0.0,0.0
"C_x2,0",-420.6267949976096,,
"C_x2,1",199.52635998614696,,
"C_x2,2",-33.03994271651423,,
"C_x2,3",2.2830671902516753,,
"C_x2,4",-0.055843675858063054,,
